body_type,brand,clothing_type,shoulder_width,bust,waist,hip,size
Hourglass,Marks & Spencers,Regular Fit Jeans,46.6,93.7,70.3,89.1,L
Pear,Calvin Klein,Oversized Jeans,44.9,82.8,66.3,97.5,S
Rectangle,VeroModa,Slim Fit Jeans,46.5,85.9,85.9,85.9,XS
Apple,Mango,Oversized Shirt,38.8,90.3,90.3,90.3,S
Triangle,Mango,Slim Fit Pants,35.6,92.0,92.0,108.3,XS
Rectangle,Zara,Regular Fit T-Shirt,36.7,89.5,89.5,89.5,L
Hourglass,Zara,Slim Fit Jeans,40.1,88.2,66.2,83.8,S
Rectangle,Only,Slim Fit Pants,43.3,87.5,87.5,87.5,XS
Rectangle,Mango,Oversized Shirt,36.8,84.8,84.8,84.8,L
Pear,SaasFaras,Oversized Pants,47.2,86.8,69.5,102.1,XL
Apple,Mango,Oversized Shirt,41.9,112.7,112.7,112.7,XL
Triangle,VeroModa,Slim Fit T-Shirt,43.1,86.5,86.5,101.7,M
Hourglass,H&M,Oversized Shirt,36.4,102.1,76.6,97.0,XL
Rectangle,Calvin Klein,Regular Fit Pants,43.1,94.7,94.7,94.7,L
Hourglass,SaasFaras,Oversized Pants,43.5,92.4,69.3,87.8,M
Hourglass,Only,Slim Fit Jeans,37.4,104.0,78.0,98.8,XS
Rectangle,Marks & Spencers,Regular Fit Shirt,49.9,94.5,94.5,94.5,L
Pear,H&M,Oversized Jeans,46.0,92.5,74.0,108.9,XS
Pear,H&M,Slim Fit Pants,42.9,92.2,73.8,108.5,XL
Rectangle,VeroModa,Slim Fit Jeans,46.2,80.2,80.2,80.2,XS
Hourglass,Mango,Regular Fit T-Shirt,47.6,103.9,77.9,98.7,M
Pear,Zara,Regular Fit Jeans,44.7,88.9,71.2,104.6,L
Rectangle,Marks & Spencers,Slim Fit T-Shirt,44.9,82.8,82.8,82.8,M
Hourglass,VeroModa,Regular Fit T-Shirt,36.4,104.9,78.6,99.6,L
Triangle,Calvin Klein,Oversized Pants,43.4,93.1,93.1,109.5,XL
Triangle,Marks & Spencers,Oversized Pants,44.0,93.5,93.5,110.0,S
Triangle,Calvin Klein,Regular Fit Shirt,40.0,82.0,82.0,96.5,M
Rectangle,VeroModa,Oversized T-Shirt,41.6,90.3,90.3,90.3,L
Triangle,Only,Regular Fit Shirt,38.3,82.6,82.6,97.2,XS
Pear,Mango,Slim Fit Jeans,44.6,84.4,67.5,99.3,XL
Triangle,VeroModa,Slim Fit Jeans,49.3,96.5,96.5,113.5,M
Hourglass,Mango,Regular Fit T-Shirt,37.5,109.5,82.1,104.0,XL
Pear,SaasFaras,Slim Fit T-Shirt,48.9,95.6,76.5,112.4,XL
Pear,Zara,Slim Fit Shirt,38.4,98.9,79.1,116.3,S
Hourglass,Zara,Regular Fit T-Shirt,49.1,95.9,71.9,91.1,XS
Triangle,VeroModa,Regular Fit Jeans,48.6,81.8,81.8,96.2,L
Pear,SaasFaras,Oversized Pants,35.9,80.9,64.7,95.2,XS
Triangle,Mango,Regular Fit T-Shirt,36.0,101.1,101.1,118.9,XS
Triangle,VeroModa,Slim Fit Jeans,46.8,86.6,86.6,101.9,M
Rectangle,VeroModa,Regular Fit Jeans,36.0,95.5,95.5,95.5,XS
Hourglass,Forever 21,Oversized Pants,48.6,86.6,64.9,82.2,M
Apple,Zara,Regular Fit T-Shirt,40.2,102.3,102.3,102.3,S
Rectangle,Marks & Spencers,Oversized Jeans,48.2,82.6,82.6,82.6,L
Hourglass,Marks & Spencers,Slim Fit Pants,38.8,109.5,82.1,104.1,XL
Pear,Only,Regular Fit Jeans,42.0,92.8,74.2,109.1,XL
Apple,Zara,Slim Fit Jeans,35.3,95.5,95.5,95.5,XS
Hourglass,Forever 21,Regular Fit Jeans,43.4,106.3,79.7,101.0,XS
Apple,Marks & Spencers,Oversized Shirt,36.0,111.7,111.7,111.7,L
Apple,SaasFaras,Oversized Shirt,37.5,104.5,104.5,104.5,S
Rectangle,VeroModa,Slim Fit Pants,47.9,82.0,82.0,82.0,S
Pear,Only,Slim Fit T-Shirt,42.7,82.1,65.7,96.6,L
Triangle,Calvin Klein,Slim Fit Shirt,38.9,85.0,85.0,100.0,XS
Triangle,Forever 21,Regular Fit T-Shirt,37.4,94.8,94.8,111.5,XL
Pear,Mango,Oversized Pants,43.4,96.7,77.4,113.8,S
Rectangle,Mango,Oversized Pants,43.1,98.2,98.2,98.2,M
Triangle,Calvin Klein,Slim Fit T-Shirt,41.0,90.3,90.3,106.3,L
Pear,Calvin Klein,Oversized T-Shirt,37.8,84.9,67.9,99.9,M
Triangle,Mango,Regular Fit T-Shirt,47.0,94.2,94.2,110.9,XL
Rectangle,Forever 21,Slim Fit T-Shirt,44.2,83.3,83.3,83.3,L
Hourglass,Calvin Klein,Oversized Jeans,42.6,89.2,66.9,84.8,S
Triangle,SaasFaras,Regular Fit Pants,47.3,96.3,96.3,113.3,XL
Hourglass,Forever 21,Slim Fit T-Shirt,47.1,107.1,80.3,101.7,M
Apple,Only,Oversized T-Shirt,39.8,111.8,111.8,111.8,XL
Triangle,VeroModa,Regular Fit Jeans,35.2,84.2,84.2,99.1,M
Apple,Calvin Klein,Regular Fit Shirt,48.4,111.6,111.6,111.6,L
Hourglass,Calvin Klein,Slim Fit Jeans,48.8,92.4,69.3,87.8,XL
Pear,Mango,Oversized Jeans,41.9,98.2,78.6,115.5,S
Hourglass,Marks & Spencers,Oversized Shirt,42.9,107.0,80.2,101.6,M
Hourglass,Marks & Spencers,Regular Fit Jeans,37.1,91.0,68.2,86.4,XS
Apple,Calvin Klein,Oversized Shirt,41.5,108.4,108.4,108.4,S
Apple,Zara,Slim Fit Jeans,38.8,115.3,115.3,115.3,M
Apple,Forever 21,Oversized Shirt,35.1,99.4,99.4,99.4,S
Apple,Forever 21,Slim Fit Jeans,39.2,115.1,115.1,115.1,XS
Pear,Forever 21,Regular Fit Jeans,40.4,85.3,68.3,100.4,XS
Hourglass,Calvin Klein,Slim Fit Pants,46.4,95.2,71.4,90.4,XL
Triangle,SaasFaras,Regular Fit Pants,45.0,97.5,97.5,114.7,XS
Rectangle,Calvin Klein,Regular Fit Shirt,37.5,80.0,80.0,80.0,M
Rectangle,Marks & Spencers,Slim Fit T-Shirt,36.9,87.6,87.6,87.6,L
Pear,Forever 21,Regular Fit Shirt,35.4,89.7,71.8,105.5,XS
Apple,Calvin Klein,Slim Fit Shirt,47.1,112.6,112.6,112.6,M
Triangle,Only,Slim Fit Pants,43.0,94.1,94.1,110.7,M
Pear,Forever 21,Oversized Pants,36.4,92.2,73.8,108.5,XL
Apple,SaasFaras,Oversized Pants,44.0,99.0,99.0,99.0,L
Pear,Mango,Oversized Jeans,48.5,81.8,65.4,96.2,XS
Rectangle,Mango,Slim Fit T-Shirt,44.4,99.8,99.8,99.8,XS
Hourglass,SaasFaras,Slim Fit Jeans,46.8,91.7,68.8,87.1,M
Hourglass,Zara,Oversized T-Shirt,42.3,90.5,67.9,86.0,L
Hourglass,Mango,Slim Fit Pants,36.0,106.7,80.0,101.4,L
Apple,Marks & Spencers,Regular Fit Pants,42.0,117.3,117.3,117.3,L
Apple,Calvin Klein,Regular Fit Jeans,44.1,103.3,103.3,103.3,L
Pear,VeroModa,Regular Fit T-Shirt,38.6,95.7,76.5,112.6,XS
Triangle,Forever 21,Slim Fit T-Shirt,44.8,91.1,91.1,107.2,L
Rectangle,Marks & Spencers,Oversized Shirt,42.6,94.9,94.9,94.9,M
Apple,H&M,Regular Fit Shirt,35.7,104.2,104.2,104.2,XL
Pear,SaasFaras,Slim Fit Pants,44.3,90.8,72.6,106.8,XL
Pear,Forever 21,Oversized Pants,35.1,91.7,73.4,107.9,XS
Apple,Marks & Spencers,Oversized Jeans,40.1,93.2,93.2,93.2,L
Hourglass,Zara,Regular Fit Shirt,49.0,92.3,69.3,87.7,S
Apple,Marks & Spencers,Oversized T-Shirt,36.7,108.5,108.5,108.5,XS
Pear,Only,Regular Fit Pants,45.1,81.4,65.1,95.7,XS
Pear,SaasFaras,Oversized Pants,48.2,96.3,77.0,113.2,L
Hourglass,Zara,Slim Fit Jeans,47.4,92.7,69.6,88.1,XL
Triangle,Zara,Oversized Pants,35.8,94.3,94.3,110.9,XS
Hourglass,Only,Regular Fit Shirt,36.7,102.2,76.6,97.1,L
Apple,Forever 21,Oversized Shirt,41.3,93.6,93.6,93.6,XL
Triangle,SaasFaras,Regular Fit Shirt,40.3,82.5,82.5,97.0,L
Rectangle,Mango,Regular Fit Jeans,44.0,97.8,97.8,97.8,S
Rectangle,Calvin Klein,Slim Fit T-Shirt,48.1,92.3,92.3,92.3,XS
Triangle,VeroModa,Oversized Jeans,36.0,99.9,99.9,117.6,XL
Rectangle,SaasFaras,Slim Fit Pants,42.3,85.9,85.9,85.9,L
Hourglass,Zara,Oversized T-Shirt,42.0,90.4,67.8,85.9,XS
Apple,VeroModa,Slim Fit Jeans,41.4,110.8,110.8,110.8,XL
Pear,Only,Slim Fit Pants,43.9,99.1,79.2,116.5,XL
Triangle,H&M,Slim Fit Shirt,48.7,99.0,99.0,116.4,M
Pear,Mango,Slim Fit T-Shirt,42.9,89.1,71.3,104.8,L
Rectangle,Marks & Spencers,Slim Fit Jeans,35.7,92.9,92.9,92.9,XL
Apple,SaasFaras,Regular Fit T-Shirt,44.7,90.8,90.8,90.8,M
Triangle,Calvin Klein,Oversized Jeans,39.7,89.5,89.5,105.2,M
Hourglass,Marks & Spencers,Oversized Shirt,43.4,99.5,74.6,94.5,L
Triangle,SaasFaras,Oversized Shirt,49.7,85.6,85.6,100.7,XL
Pear,Forever 21,Regular Fit Jeans,48.9,85.2,68.2,100.2,M
Pear,Calvin Klein,Oversized Shirt,42.3,83.9,67.1,98.7,M
Rectangle,Zara,Regular Fit Jeans,40.6,87.4,87.4,87.4,XL
Pear,Only,Slim Fit T-Shirt,43.2,101.9,81.5,119.9,L
Hourglass,Forever 21,Regular Fit Shirt,46.6,109.3,82.0,103.8,XL
Hourglass,Zara,Slim Fit Pants,37.5,98.3,73.7,93.4,XS
Hourglass,Only,Slim Fit Shirt,38.9,92.6,69.4,87.9,M
Pear,SaasFaras,Oversized T-Shirt,47.5,85.7,68.6,100.9,L
Triangle,Calvin Klein,Regular Fit Shirt,50.0,93.1,93.1,109.6,L
Hourglass,H&M,Oversized Jeans,49.9,95.0,71.3,90.3,L
Triangle,H&M,Oversized Pants,41.9,97.6,97.6,114.8,XS
Hourglass,Marks & Spencers,Slim Fit Jeans,43.1,96.9,72.7,92.0,XL
Pear,Zara,Oversized Shirt,41.9,88.3,70.6,103.8,M
Hourglass,VeroModa,Oversized Jeans,45.2,86.4,64.8,82.1,L
Apple,VeroModa,Regular Fit Shirt,49.7,103.9,103.9,103.9,M
Triangle,Forever 21,Slim Fit T-Shirt,42.8,91.2,91.2,107.3,S
Pear,Mango,Slim Fit Shirt,48.4,96.2,76.9,113.1,S
Pear,H&M,Slim Fit Jeans,43.9,93.5,74.8,110.1,M
Hourglass,Calvin Klein,Slim Fit Pants,44.6,85.1,63.8,80.8,L
Apple,Marks & Spencers,Slim Fit Shirt,42.7,103.4,103.4,103.4,M
Hourglass,Only,Oversized Shirt,48.1,85.8,64.3,81.5,XL
Rectangle,Zara,Slim Fit Jeans,46.0,86.7,86.7,86.7,S
Apple,Calvin Klein,Slim Fit Shirt,47.4,110.3,110.3,110.3,S
Pear,SaasFaras,Regular Fit T-Shirt,36.0,94.2,75.4,110.8,XS
Hourglass,Marks & Spencers,Oversized Pants,47.1,105.5,79.2,100.3,XL
Apple,Forever 21,Slim Fit Shirt,41.0,93.1,93.1,93.1,S
Rectangle,Forever 21,Slim Fit T-Shirt,36.7,87.0,87.0,87.0,M
Triangle,H&M,Slim Fit Shirt,45.2,99.2,99.2,116.7,M
Apple,Only,Oversized Shirt,42.2,97.3,97.3,97.3,S
Rectangle,H&M,Regular Fit Jeans,38.2,93.3,93.3,93.3,XL
Rectangle,Only,Slim Fit Shirt,43.7,80.4,80.4,80.4,M
Apple,SaasFaras,Slim Fit Pants,38.2,91.0,91.0,91.0,XL
Pear,Mango,Slim Fit Pants,48.0,96.0,76.8,113.0,XS
Rectangle,Forever 21,Oversized Pants,42.9,92.7,92.7,92.7,L
Rectangle,Forever 21,Oversized T-Shirt,46.6,82.9,82.9,82.9,L
Rectangle,Only,Oversized Shirt,45.8,96.5,96.5,96.5,S
Apple,SaasFaras,Slim Fit Pants,35.7,105.3,105.3,105.3,XS
Apple,Only,Oversized Pants,40.1,104.0,104.0,104.0,S
Triangle,Mango,Slim Fit Jeans,36.9,98.3,98.3,115.7,M
Apple,H&M,Slim Fit Jeans,48.4,113.7,113.7,113.7,L
Hourglass,Calvin Klein,Regular Fit Shirt,36.7,101.9,76.4,96.8,L
Rectangle,SaasFaras,Slim Fit Jeans,45.1,96.9,96.9,96.9,M
Hourglass,Zara,Oversized Jeans,39.2,89.6,67.2,85.1,XL
Pear,SaasFaras,Regular Fit T-Shirt,36.6,87.1,69.7,102.5,XS
Pear,Calvin Klein,Slim Fit Jeans,40.4,81.8,65.4,96.2,XL
Triangle,Mango,Slim Fit Shirt,46.6,94.2,94.2,110.9,S
Apple,Only,Slim Fit Pants,47.3,102.5,102.5,102.5,XL
Rectangle,Mango,Slim Fit Pants,44.7,94.6,94.6,94.6,M
Triangle,Only,Oversized Shirt,44.8,83.7,83.7,98.4,XS
Rectangle,Calvin Klein,Slim Fit Jeans,45.2,81.0,81.0,81.0,L
Apple,Forever 21,Oversized T-Shirt,45.0,91.3,91.3,91.3,L
Apple,VeroModa,Slim Fit T-Shirt,36.5,106.3,106.3,106.3,S
Rectangle,Zara,Slim Fit T-Shirt,36.9,80.4,80.4,80.4,S
Rectangle,Calvin Klein,Slim Fit Pants,43.0,88.1,88.1,88.1,M
Triangle,Marks & Spencers,Oversized Jeans,42.8,101.2,101.2,119.1,XS
Apple,Forever 21,Regular Fit Pants,38.3,98.0,98.0,98.0,L
Triangle,VeroModa,Oversized T-Shirt,47.1,97.1,97.1,114.3,S
Rectangle,Zara,Slim Fit T-Shirt,46.1,86.8,86.8,86.8,XL
Triangle,Mango,Slim Fit Jeans,43.2,94.8,94.8,111.6,M
Triangle,Calvin Klein,Slim Fit Pants,44.1,98.4,98.4,115.7,M
Hourglass,VeroModa,Oversized Jeans,45.7,107.5,80.6,102.1,L
Hourglass,H&M,Oversized Shirt,35.9,96.8,72.6,92.0,L
Triangle,Forever 21,Regular Fit Jeans,43.0,85.8,85.8,101.0,XS
Triangle,H&M,Oversized Jeans,38.1,97.3,97.3,114.4,L
Rectangle,Only,Regular Fit Jeans,46.7,92.4,92.4,92.4,XS
Hourglass,Calvin Klein,Oversized Jeans,44.5,105.3,79.0,100.0,XL
Triangle,SaasFaras,Regular Fit Shirt,45.9,87.9,87.9,103.4,L
Apple,Mango,Oversized Shirt,35.1,94.4,94.4,94.4,S
Triangle,Mango,Oversized Jeans,42.9,101.1,101.1,118.9,XS
Hourglass,Zara,Oversized T-Shirt,37.7,98.7,74.0,93.7,S
Pear,VeroModa,Oversized Pants,45.1,99.8,79.9,117.4,L
Apple,H&M,Oversized Jeans,36.6,109.8,109.8,109.8,L
Triangle,Calvin Klein,Slim Fit Jeans,43.5,101.6,101.6,119.5,M
Pear,Zara,Slim Fit Pants,36.1,93.4,74.7,109.8,S
Rectangle,VeroModa,Regular Fit T-Shirt,48.6,95.9,95.9,95.9,L
Rectangle,SaasFaras,Oversized Jeans,49.7,90.4,90.4,90.4,M
Hourglass,Marks & Spencers,Regular Fit T-Shirt,46.7,96.5,72.3,91.6,XS
Triangle,Marks & Spencers,Oversized Shirt,35.2,91.4,91.4,107.5,XL
Rectangle,Forever 21,Oversized T-Shirt,38.4,98.5,98.5,98.5,L
Pear,Zara,Oversized Pants,47.7,87.6,70.1,103.0,S
Pear,VeroModa,Oversized T-Shirt,42.2,81.4,65.1,95.7,M
Hourglass,Forever 21,Slim Fit Pants,42.4,108.9,81.7,103.4,M
Apple,Only,Regular Fit Shirt,46.3,101.8,101.8,101.8,M
Pear,Calvin Klein,Regular Fit Shirt,44.3,86.6,69.3,101.9,M
Hourglass,Forever 21,Regular Fit T-Shirt,44.8,94.0,70.5,89.3,XL
Rectangle,SaasFaras,Regular Fit Jeans,36.5,98.4,98.4,98.4,S
Rectangle,Mango,Slim Fit Pants,37.6,80.7,80.7,80.7,XL
Rectangle,Marks & Spencers,Slim Fit Pants,45.8,88.6,88.6,88.6,XL
Pear,Zara,Slim Fit Shirt,39.2,96.9,77.5,114.0,L
Triangle,Only,Regular Fit Pants,41.3,99.7,99.7,117.3,S
Triangle,Only,Regular Fit Jeans,38.1,91.3,91.3,107.4,L
Hourglass,Marks & Spencers,Slim Fit Pants,35.5,99.8,74.9,94.9,M
Apple,Forever 21,Regular Fit Jeans,41.1,105.2,105.2,105.2,M
Pear,Marks & Spencers,Regular Fit T-Shirt,40.3,97.2,77.8,114.3,S
Triangle,Calvin Klein,Oversized Shirt,35.7,90.6,90.6,106.6,XS
Triangle,Only,Oversized T-Shirt,35.0,97.0,97.0,114.1,XL
Apple,VeroModa,Slim Fit T-Shirt,38.0,111.7,111.7,111.7,XL
Hourglass,Forever 21,Slim Fit Shirt,37.9,86.3,64.7,82.0,M
Triangle,VeroModa,Slim Fit Shirt,47.7,96.5,96.5,113.5,L
Rectangle,H&M,Oversized T-Shirt,39.1,85.1,85.1,85.1,XS
Apple,VeroModa,Regular Fit T-Shirt,37.2,106.3,106.3,106.3,XL
Pear,Only,Regular Fit Jeans,39.0,81.2,65.0,95.5,S
Apple,SaasFaras,Oversized Jeans,40.4,104.5,104.5,104.5,S
Triangle,Mango,Oversized Jeans,46.7,92.7,92.7,109.0,XL
Apple,Calvin Klein,Regular Fit T-Shirt,47.4,118.0,118.0,118.0,XS
Pear,VeroModa,Regular Fit Shirt,47.9,96.2,77.0,113.2,S
Apple,H&M,Oversized Jeans,40.2,95.9,95.9,95.9,XS
Triangle,Forever 21,Oversized T-Shirt,46.5,83.3,83.3,98.0,M
Hourglass,Only,Regular Fit Shirt,37.4,94.5,70.9,89.8,XS
Triangle,H&M,Regular Fit Shirt,36.9,97.4,97.4,114.6,M
Rectangle,SaasFaras,Oversized Shirt,43.4,82.0,82.0,82.0,XL
Hourglass,Calvin Klein,Slim Fit T-Shirt,43.1,98.4,73.8,93.4,XS
Hourglass,SaasFaras,Oversized T-Shirt,36.8,97.1,72.8,92.2,M
Pear,Calvin Klein,Slim Fit Jeans,47.1,99.4,79.5,117.0,M
Triangle,Only,Oversized Shirt,36.1,91.4,91.4,107.5,M
Pear,H&M,Regular Fit Pants,38.7,94.1,75.3,110.7,M
Triangle,SaasFaras,Regular Fit Shirt,39.6,86.9,86.9,102.2,L
Pear,SaasFaras,Slim Fit T-Shirt,48.2,89.9,71.9,105.8,XS
Hourglass,VeroModa,Oversized Pants,36.3,93.9,70.4,89.2,M
Apple,Calvin Klein,Slim Fit T-Shirt,38.1,92.2,92.2,92.2,XL
Triangle,SaasFaras,Regular Fit T-Shirt,44.0,97.4,97.4,114.6,M
Triangle,Marks & Spencers,Oversized Shirt,35.2,100.2,100.2,117.9,S
Hourglass,SaasFaras,Oversized Shirt,41.1,87.8,65.9,83.4,S
Hourglass,H&M,Regular Fit Jeans,40.2,95.6,71.7,90.8,L
Triangle,Only,Oversized Jeans,42.2,85.1,85.1,100.1,M
Rectangle,Marks & Spencers,Regular Fit Jeans,36.2,92.1,92.1,92.1,S
Hourglass,VeroModa,Regular Fit T-Shirt,45.4,95.8,71.8,91.0,M
Pear,Forever 21,Slim Fit Shirt,35.2,86.4,69.1,101.7,S
Pear,VeroModa,Oversized Jeans,45.1,90.3,72.3,106.3,S
Apple,Forever 21,Oversized Jeans,37.6,90.1,90.1,90.1,L
Pear,Mango,Regular Fit Jeans,46.0,100.8,80.7,118.6,XL
Hourglass,Marks & Spencers,Slim Fit T-Shirt,45.2,102.5,76.9,97.4,L
Triangle,SaasFaras,Regular Fit Shirt,38.8,93.1,93.1,109.6,XL
Triangle,Calvin Klein,Regular Fit Shirt,47.6,89.2,89.2,105.0,S
Rectangle,VeroModa,Slim Fit T-Shirt,46.1,90.0,90.0,90.0,XS
Rectangle,Calvin Klein,Regular Fit T-Shirt,47.1,81.7,81.7,81.7,M
Triangle,Mango,Oversized Jeans,38.4,101.9,101.9,119.9,S
Pear,Mango,Slim Fit Pants,38.1,95.6,76.5,112.5,S
Apple,Zara,Regular Fit Pants,38.7,90.4,90.4,90.4,L
Apple,Zara,Oversized Jeans,41.9,91.9,91.9,91.9,S
Pear,SaasFaras,Oversized Jeans,40.0,88.7,70.9,104.3,S
Rectangle,VeroModa,Slim Fit Shirt,43.2,98.7,98.7,98.7,L
Pear,VeroModa,Regular Fit Shirt,36.0,91.8,73.5,108.0,M
Rectangle,SaasFaras,Slim Fit Pants,43.1,91.7,91.7,91.7,XL
Apple,SaasFaras,Slim Fit T-Shirt,46.8,110.0,110.0,110.0,XL
Hourglass,H&M,Regular Fit Jeans,47.5,100.9,75.7,95.9,M
Triangle,H&M,Slim Fit Jeans,36.0,100.6,100.6,118.4,M
Rectangle,VeroModa,Oversized Jeans,39.5,80.4,80.4,80.4,S
Hourglass,VeroModa,Oversized Pants,39.2,90.3,67.7,85.7,L
Pear,VeroModa,Oversized Shirt,37.4,86.3,69.0,101.5,XS
Hourglass,Zara,Regular Fit Shirt,46.2,108.6,81.4,103.1,S
Pear,Forever 21,Slim Fit Shirt,35.1,97.9,78.3,115.1,M
Triangle,Marks & Spencers,Regular Fit Jeans,40.3,88.3,88.3,103.9,XS
Triangle,Marks & Spencers,Slim Fit Pants,48.7,87.3,87.3,102.7,XL
Hourglass,Forever 21,Regular Fit Jeans,49.1,97.6,73.2,92.8,XS
Apple,SaasFaras,Oversized T-Shirt,43.3,101.8,101.8,101.8,XL
Pear,Only,Slim Fit T-Shirt,45.2,99.0,79.2,116.5,XS
Apple,Only,Slim Fit Shirt,39.4,90.4,90.4,90.4,XS
Hourglass,Only,Regular Fit T-Shirt,35.0,89.1,66.8,84.7,XL
Rectangle,Zara,Slim Fit T-Shirt,37.4,90.3,90.3,90.3,L
Apple,SaasFaras,Oversized Jeans,36.8,116.4,116.4,116.4,S
Triangle,Calvin Klein,Regular Fit T-Shirt,44.1,91.8,91.8,108.0,S
Pear,VeroModa,Slim Fit Jeans,41.2,92.6,74.1,108.9,M
Apple,Calvin Klein,Slim Fit Shirt,46.3,102.4,102.4,102.4,S
Hourglass,H&M,Oversized Shirt,43.6,98.7,74.0,93.7,M
Hourglass,SaasFaras,Oversized T-Shirt,37.1,93.4,70.1,88.8,XL
Rectangle,SaasFaras,Regular Fit Pants,48.4,87.8,87.8,87.8,XL
Rectangle,SaasFaras,Regular Fit Pants,44.2,95.5,95.5,95.5,XL
Pear,Mango,Oversized Jeans,48.3,89.4,71.5,105.2,XL
Pear,Mango,Slim Fit T-Shirt,46.3,95.6,76.5,112.4,L
Hourglass,Mango,Slim Fit T-Shirt,40.0,97.1,72.8,92.3,XS
Apple,Only,Slim Fit Shirt,48.2,115.6,115.6,115.6,M
Pear,Zara,Slim Fit Pants,38.1,99.9,79.9,117.5,S
Triangle,Mango,Oversized Pants,43.2,98.8,98.8,116.2,L
Apple,H&M,Oversized Shirt,41.5,114.1,114.1,114.1,XL
Hourglass,Calvin Klein,Slim Fit Shirt,40.6,93.8,70.3,89.1,M
Pear,Only,Regular Fit T-Shirt,35.7,88.6,70.9,104.2,M
Pear,H&M,Regular Fit Shirt,47.1,80.9,64.7,95.1,XS
Hourglass,Marks & Spencers,Slim Fit Pants,43.8,104.2,78.1,99.0,L
Hourglass,Only,Regular Fit Jeans,45.1,88.5,66.4,84.1,L
Triangle,Only,Slim Fit Jeans,40.9,88.1,88.1,103.7,XS
Rectangle,SaasFaras,Regular Fit Pants,46.6,88.7,88.7,88.7,M
Rectangle,Zara,Oversized T-Shirt,41.2,86.1,86.1,86.1,S
Pear,VeroModa,Oversized Pants,44.0,84.7,67.8,99.6,M
Rectangle,SaasFaras,Regular Fit Jeans,41.7,82.7,82.7,82.7,S
Rectangle,SaasFaras,Slim Fit T-Shirt,49.1,85.3,85.3,85.3,XS
Hourglass,SaasFaras,Slim Fit Jeans,38.3,102.4,76.8,97.2,XL
Triangle,Only,Slim Fit T-Shirt,47.2,94.8,94.8,111.5,S
Triangle,Only,Regular Fit Pants,46.2,97.2,97.2,114.3,L
Apple,Marks & Spencers,Regular Fit Shirt,35.5,97.8,97.8,97.8,XL
Hourglass,Calvin Klein,Oversized T-Shirt,45.0,86.0,64.5,81.7,L
Apple,Marks & Spencers,Oversized Jeans,45.0,103.1,103.1,103.1,XL
Rectangle,H&M,Oversized Pants,45.6,96.3,96.3,96.3,M
Pear,Forever 21,Slim Fit Jeans,47.0,100.6,80.5,118.3,M
Hourglass,Calvin Klein,Oversized Jeans,39.6,99.3,74.5,94.3,M
Hourglass,SaasFaras,Slim Fit Shirt,47.7,107.3,80.5,101.9,L
Pear,Zara,Slim Fit Shirt,39.6,95.8,76.6,112.7,S
Pear,Calvin Klein,Slim Fit Shirt,43.8,99.1,79.3,116.6,XL
Apple,Forever 21,Slim Fit Shirt,37.1,110.3,110.3,110.3,M
Apple,Forever 21,Slim Fit Shirt,40.1,117.9,117.9,117.9,M
Hourglass,Zara,Slim Fit Shirt,44.7,109.5,82.1,104.1,XL
Apple,Forever 21,Slim Fit T-Shirt,49.2,105.1,105.1,105.1,XS
Hourglass,H&M,Oversized Jeans,48.9,87.8,65.8,83.4,S
Triangle,Zara,Regular Fit Pants,49.6,94.4,94.4,111.1,XS
Rectangle,VeroModa,Slim Fit Shirt,44.0,92.7,92.7,92.7,XS
Triangle,VeroModa,Slim Fit T-Shirt,47.6,94.9,94.9,111.7,S
Rectangle,Forever 21,Oversized Shirt,45.5,92.2,92.2,92.2,XS
Triangle,Marks & Spencers,Slim Fit T-Shirt,43.0,101.2,101.2,119.0,L
Rectangle,H&M,Oversized T-Shirt,48.8,85.5,85.5,85.5,XS
Rectangle,Marks & Spencers,Slim Fit Jeans,35.5,81.0,81.0,81.0,M
Rectangle,SaasFaras,Regular Fit T-Shirt,45.4,84.9,84.9,84.9,L
Pear,Only,Oversized Jeans,39.3,96.4,77.1,113.4,M
Apple,Calvin Klein,Slim Fit Shirt,45.4,96.5,96.5,96.5,L
Apple,Marks & Spencers,Oversized T-Shirt,41.5,100.4,100.4,100.4,L
Triangle,SaasFaras,Regular Fit Shirt,36.3,100.7,100.7,118.4,S
Pear,H&M,Oversized Shirt,42.1,84.3,67.5,99.2,L
Rectangle,VeroModa,Oversized Pants,41.6,81.5,81.5,81.5,S
Triangle,Calvin Klein,Oversized T-Shirt,41.6,101.3,101.3,119.2,XS
Pear,Marks & Spencers,Oversized Pants,40.5,98.3,78.7,115.7,L
Triangle,Forever 21,Oversized T-Shirt,37.2,97.9,97.9,115.2,S
Rectangle,Only,Oversized Jeans,37.3,92.3,92.3,92.3,L
Rectangle,Marks & Spencers,Oversized Pants,37.6,80.1,80.1,80.1,M
Apple,SaasFaras,Regular Fit Pants,35.9,114.7,114.7,114.7,S
Rectangle,Mango,Slim Fit T-Shirt,43.2,86.9,86.9,86.9,XL
Triangle,Marks & Spencers,Regular Fit Shirt,43.1,87.4,87.4,102.8,S
Hourglass,SaasFaras,Slim Fit Pants,42.8,85.4,64.0,81.1,L
Hourglass,Mango,Slim Fit Jeans,44.9,102.2,76.6,97.1,L
Apple,Calvin Klein,Oversized Shirt,42.7,102.5,102.5,102.5,L
Hourglass,SaasFaras,Regular Fit Shirt,46.0,97.8,73.3,92.9,XL
Triangle,VeroModa,Regular Fit T-Shirt,40.6,92.5,92.5,108.8,L
